item_id;catalog;brand;qty
1,001E+13;AAS 344/332;FERSA;8
1,001E+13;AAS 368 A/362 X;FERSA;45
1,001E+13;AAS 387 A/382 A;FERSA;38
1,001E+13;AAS 387 S/382;FERSA;14
1,00101E+13;AAS 389 A/382 A;FERSA;26
1,00101E+13;AAS 390/394 A;FERSA;13
1,00101E+13;AAS 395 A/394 A;FERSA;33
1,00101E+13;AAS 399 A/394 A;FERSA;5
1,00101E+13;AAS 469/453 X;FERSA;53
1,00101E+13;AAS 482/472;FERSA;29
1,00101E+13;AAS 495/492 A;FERSA;3
1,00101E+13;AAS 495/493;FERSA;2
1,00101E+13;AAS 527/522;FERSA;4
1,00101E+13;AAS 529/520 X1;FERSA;1
1,00101E+13;AAS 529 X/522;FERSA;1
1,00101E+13;AAS 575/572 X;FERSA;6
1,00101E+13;AAS 580/572;FERSA;23
1,00101E+13;AAS 594/592 A;FERSA;93
1,00101E+13;AAS 594 A/593 X;FERSA;32
1,00101E+13;AAS 598 A/592 A;FERSA;4
1,00101E+13;AAS 687/672;FERSA;52
1,00101E+13;AAS 749/742;FERSA;6
1,00101E+13;AAS 1780/1729;FERSA;7
1,00102E+13;AAS 2689/2631;FERSA;3
1,00102E+13;AAS 2780/2729;FERSA;8
1,00102E+13;AAS 2788/2720;FERSA;7
1,00102E+13;AAS 2789/2720;FERSA;3
1,00102E+13;AAS 2789/2729;FERSA;6
1,00102E+13;AAS 3386/3320;FERSA;2
1,00102E+13;AAS 3877/3820;FERSA;12
1,00102E+13;AAS JF 4049/JF 4010;FERSA;116
1,00102E+13;AAS JW 4549/10;FERSA;2
1,00102E+13;AAS JW 5049/JW 5010;FERSA;87
1,00102E+13;AAS 5395/5335;FERSA;188
1,00102E+13;AAS JW 5549/10;FERSA;40
1,00102E+13;AAS JF 6049/10;FERSA;103
1,00102E+13;AAS JW 6049/10;FERSA;6
1,00102E+13;AAS A 6075/A 6157;FERSA;4
1,00102E+13;AAS 6379/6320;FERSA;2
1,00102E+13;AAS JD 6549/6510;FERSA;12
1,00102E+13;AAS 02872/02820;FERSA;15
1,00102E+13;AAS 09074/09195;FERSA;3
1,00103E+13;AAS JF 10049/10;FERSA;4
1,00103E+13;AAS LM 11949/10;FERSA;396
1,00103E+13;AAS JP 12049 A/10;FERSA;31
1,00103E+13;AAS LM 12749/10;FERSA;10
1,00103E+13;AAS 13685/13621;FERSA;4
1,00103E+13;AAS 14131/14276;FERSA;11
1,00103E+13;AAS 14138 A/14276;FERSA;17
1,00103E+13;AAS 14585/14525;FERSA;9
1,00103E+13;AAS F 15046;FERSA;55
1,00103E+13;AAS F 15047;FERSA;121
1,00103E+13;AAS F 15048;FERSA;130
1,00103E+13;AAS F 15051 C;FERSA;1
1,00103E+13;AAS F 15071;FERSA;26
1,00103E+13;AAS F 15075;FERSA;465
1,00103E+13;AAS F 15076;FERSA;28
1,00103E+13;AAS F 15082;FERSA;3
1,00103E+13;AAS F 15083;FERSA;730
1,00104E+13;AAS F 15104;FERSA;43
1,00104E+13;AAS F 15112;FERSA;97
1,00104E+13;AAS F 15116;FERSA;218
1,00104E+13;AAS F 15117;FERSA;338
1,00104E+13;AAS 15103 S/15243;FERSA;179
1,00104E+13;AAS 15106/15250 X;FERSA;296
1,00104E+13;AAS 15112/15245;FERSA;33
1,00104E+13;AAS 15118/15250 X;FERSA;16
1,00104E+13;AAS 15123/15250 X;FERSA;1
1,00104E+13;AAS 15126/15250 X;FERSA;188
1,00104E+13;AAS 17887/17831;FERSA;6
1,00104E+13;AAS 18790/18720;FERSA;1
1,00104E+13;AAS 21075/21212;FERSA;4
1,00104E+13;AAS 25577/25523;FERSA;8
1,00104E+13;AAS 25580/25520;FERSA;61
1,00104E+13;AAS 25580/25522;FERSA;2
1,00104E+13;AAS 25581/25520;FERSA;123
1,00104E+13;AAS 25877/25821;FERSA;139
1,00104E+13;AAS 26882/26820;FERSA;28
1,00104E+13;AAS 26882/26822;FERSA;3
1,00104E+13;AAS 28580/28521;FERSA;4
1,00105E+13;AAS 28682/28622;FERSA;66
1,00105E+13;AAS 29590/29520;FERSA;28
1,00105E+13;AAS 29590/29522;FERSA;7
1,00105E+13;AAS 29675/29620;FERSA;43
1,00105E+13;AAS LM 29749/10;FERSA;4
1,00105E+13;AAS 30202 F;FERSA;23
1,00105E+13;AAS 30204 F;FERSA;59
1,00105E+13;AAS 30205 F;FERSA;1
1,00105E+13;AAS 30206 F;FERSA;35
1,00105E+13;AAS 30207 F;FERSA;267
1,00105E+13;AAS 30208 F;FERSA;173
1,00105E+13;AAS 30210 F;FERSA;4
1,00105E+13;AAS NKE_30210;NKE;46
1,00105E+13;AAS 30212 F;FERSA;19
1,00105E+13;AAS 30213 F;FERSA;5
1,00105E+13;AAS 30214 F;FERSA;59
1,00105E+13;AAS 30215 F;FERSA;138
1,00105E+13;AAS 30216 F;FERSA;16
1,00105E+13;AAS 30217 F;FERSA;67
