item_id;catalog;brand;qty
1,001E+13;AAS 368 A/362 A;FERSA;1448
1,001E+13;AAS 386 A/382 A;FERSA;5
1,001E+13;AAS 387 A/383 A;FERSA;6
1,00101E+13;AAS 387 AS/382 A;FERSA;10
1,00101E+13;AAS 388 A/382;FERSA;7
1,00101E+13;AAS 389 A/383 A;FERSA;87
1,00101E+13;AAS 399 A/394 A;FERSA;9
1,00101E+13;AAS 418/414;FERSA;5
1,00101E+13;AAS 419/414;FERSA;49
1,00101E+13;AAS 462 A/453 X;FERSA;80
1,00101E+13;AAS 482/472;FERSA;8
1,00101E+13;AAS 495 A/493;FERSA;1
1,00101E+13;AAS 497/492 A;FERSA;12
1,00101E+13;AAS 498/492 A;FERSA;12
1,00101E+13;AAS 528/522;FERSA;7
1,00101E+13;AAS 537/532 X;FERSA;11
1,00101E+13;AAS 555 S/552 A;FERSA;19
1,00101E+13;AAS 575/572 X;FERSA;134
1,00101E+13;AAS 580/572 X;FERSA;134
1,00101E+13;AAS 594 A/592 A;FERSA;410
1,00101E+13;AAS 663/653;FERSA;23
1,00101E+13;AAS 681/672;FERSA;7
1,00101E+13;AAS 683/672;FERSA;1
1,00101E+13;AAS 759/752;FERSA;156
1,00101E+13;AAS 1380/1328;FERSA;39
1,00102E+13;AAS 2580/2520;FERSA;62
1,00102E+13;AAS 2580/2523;FERSA;4
1,00102E+13;AAS 2689/2631;FERSA;1737
1,00102E+13;AAS 2780/2720;FERSA;41
1,00102E+13;AAS 2789/2720;FERSA;133
1,00102E+13;AAS 2789/2729;FERSA;1
1,00102E+13;AAS 3381/3320;FERSA;40
1,00102E+13;AAS 3578/3525;FERSA;923
1,00102E+13;AAS 3780/3720;FERSA;145
1,00102E+13;AAS 3782/3720;FERSA;803
1,00102E+13;AAS 3877/3820;FERSA;3
1,00102E+13;AAS 3980/3920;FERSA;6
1,00102E+13;AAS 3982/3920;FERSA;48
1,00102E+13;AAS JF 4049/JF 4010;FERSA;2
1,00102E+13;AAS JF 4549/JF 4510;FERSA;7
1,00102E+13;AAS JW 4549/10;FERSA;144
1,00102E+13;AAS JW 6049/10;FERSA;3
1,00102E+13;AAS 6386/6320;FERSA;6
1,00102E+13;AAS JD 6549/6510;FERSA;893
1,00102E+13;AAS JW 7049/10;FERSA;98
1,00102E+13;AAS 9278/9220;FERSA;10
1,00103E+13;AAS JF 10049/10;FERSA;119
1,00103E+13;AAS JP 10049/10;FERSA;41
1,00103E+13;AAS 11590/11520;FERSA;10
1,00103E+13;AAS M 12649/M 12610;FERSA;143
1,00103E+13;AAS 14125 A/14274;FERSA;41
1,00103E+13;AAS 14131/14276;FERSA;7
1,00103E+13;AAS 14138 A/14274;FERSA;19
1,00103E+13;AAS F 15029;FERSA;26
1,00103E+13;AAS F 15036;FERSA;8
1,00103E+13;AAS F 15051 C;FERSA;40
1,00103E+13;AAS F 15082;FERSA;1544
1,00103E+13;AAS F 15090;FERSA;29
1,00104E+13;AAS F 15109;FERSA;36
1,00104E+13;AAS 15101/15245;FERSA;80
1,00104E+13;AAS 15106/15245;FERSA;81
1,00104E+13;AAS 15578/15520;FERSA;7
1,00104E+13;AAS 17887/17831;FERSA;18
1,00104E+13;AAS 18790/18720;FERSA;2572
1,00104E+13;AAS 24780/24720;FERSA;7
1,00104E+13;AAS 25577/25520;FERSA;2
1,00104E+13;AAS 25577/25523;FERSA;29
1,00104E+13;AAS 25580/25522;FERSA;10
1,00104E+13;AAS 25584/25547 RB;FERSA;40
1,00104E+13;AAS 25590/25520;FERSA;128
1,00104E+13;AAS 25590/25522;FERSA;194
1,00104E+13;AAS 25590/25523;FERSA;217
1,00104E+13;AAS 25880/25820;FERSA;16
1,00104E+13;AAS 27687/27620;FERSA;108
1,00104E+13;AAS 27690/27620;FERSA;90
1,00104E+13;AAS 28580/28521;FERSA;143
1,00104E+13;AAS 28584/28521;FERSA;1
1,00104E+13;AAS 28584/28521;FERSA;1
1,00105E+13;AAS 28985/28921;FERSA;1
1,00105E+13;AAS 29685/29620;FERSA;6
1,00105E+13;AAS LM 29749/11;FERSA;16
1,00105E+13;AAS 30203 F;FERSA;19
1,00105E+13;AAS 30209 F;FERSA;210
1,00105E+13;AAS 30211 F;FERSA;12
1,00105E+13;AAS 30220 F;FERSA;3
1,00105E+13;AAS 30221 F;FERSA;2
1,00105E+13;AAS NKE_30306;NKE;124
1,00105E+13;AAS NKE_30306-MRO;NKE;76
1,00105E+13;AAS 30309 F;FERSA;3
1,00105E+13;AAS 30310 F;FERSA;6
1,00105E+13;AAS NKE_30311;NKE;4
