item_id;catalog;brand;qty
10010019001001;AAS 344/332;FERSA;8
10010026001190;AAS 368 A/362 X;FERSA;68
10010044131190;AAS 387 A/382 A;FERSA;38
10010046001001;AAS 387 A/383 A;FERSA;2
10010056001190;AAS 390/394 A;FERSA;13
10010059001001;AAS 395 A/394 A;FERSA;32
10010065001190;AAS 399 A/394 A;FERSA;13
10010070001001;AAS 462/453 X;FERSA;2
10010072001190;AAS 469/453 X;FERSA;33
10010073001001;AAS 482/472;FERSA;26
10010080001190;AAS 495/492 A;FERSA;3
10010081001001;AAS 495/493;FERSA;2
10010092001001;AAS 527/522;FERSA;4
10010096001001;AAS 529/520 X1;FERSA;67
10010097001190;AAS 529 X/522;FERSA;1
10010113001001;AAS 575/572 X;FERSA;2
10010114001001;AAS 580/572;FERSA;25
10010116001190;AAS 580/572 X;FERSA;14
10010119001001;AAS 594/592 A;FERSA;69
10010125001001;AAS 598 A/592 A;FERSA;4
10010135001001;AAS 687/672;FERSA;54
10010138001001;AAS 749/742;FERSA;6
10010147001190;AAS 1780/1729;FERSA;7
10010155001001;AAS 2580/2520;FERSA;41
10010158001001;AAS 2689/2631;FERSA;2
10010159001190;AAS 2780/2720;FERSA;8
10010160001190;AAS 2780/2729;FERSA;8
10010161001001;AAS 2788/2720;FERSA;7
10010163001001;AAS 2789/2720;FERSA;3
10010164001001;AAS 2789/2729;FERSA;10
10010170001001;AAS 3386/3320;FERSA;2
10010185121190;AAS 3780/3720;FERSA;11
10010187001001;AAS 3782/3720;FERSA;6
10010190001001;AAS 3877/3820;FERSA;14
10010193001190;AAS 3980/3920;FERSA;2
10010196001001;AAS 3984/3920;FERSA;1
10010201001001;AAS JF 4049/JF 4010;FERSA;13
10010206001001;AAS JF 4549/JF 4510;FERSA;1
10010208001001;AAS JW 4549/10;FERSA;16
10010209001001;AAS JW 5049/JW 5010;FERSA;32
10010211001001;AAS 5395/5335;FERSA;209
10010212001190;AAS JW 5549/10;FERSA;7
10010215001001;AAS JF 6049/10;FERSA;140
10010216001190;AAS JW 6049/10;FERSA;11
10010217001190;AAS A 6075/A 6157;FERSA;4
10010219001001;AAS 6379/6320;FERSA;2
10010222001001;AAS JD 6549/6510;FERSA;35
10010225001001;AAS JW 7049/10;FERSA;5
10010226001001;AAS JF 7049 A/10;FERSA;1
10010233011190;AAS 02872/02820;FERSA;15
10010246001001;AAS 09074/09195;FERSA;3
10010250001001;AAS JF 10049/10;FERSA;9
10010261001001;AAS LM 11949/10;FERSA;372
10010263001001;AAS JP 12049/10;FERSA;9
10010264001001;AAS JP 12049 A/10;FERSA;26
10010268001001;AAS LM 12749/10;FERSA;10
10010270001190;AAS 13685/13621;FERSA;4
10010283001190;AAS 14131/14276;FERSA;4
10010289001001;AAS 14138 A/14276;FERSA;19
10010291001190;AAS 14585/14525;FERSA;10
10010315001001;AAS F 15046;FERSA;66
10010316001001;AAS F 15047;FERSA;133
10010317001001;AAS F 15048;FERSA;159
10010317001068;AAS F 15048;FERSA;4
10010320001003;AAS F 15051 C;FERSA;6
10010337001001;AAS F 15071;FERSA;54
10010338001001;AAS F 15075;FERSA;487
